,实体,属性,值
202,灵隐寺[浙江杭州灵隐寺],著名景点,三生石
203,灵隐寺[浙江杭州灵隐寺],文物级别,第七批全国重点文物保护单位
204,灵隐寺[浙江杭州灵隐寺],现任住持,光泉法师
205,灵隐寺[浙江杭州灵隐寺],标签,旅游
206,灵隐寺[浙江杭州灵隐寺],标签,建筑
207,西湖[浙江省杭州市西湖],中文名称,杭州西湖
208,西湖[浙江省杭州市西湖],气候类型,亚热带季风气候
209,西湖[浙江省杭州市西湖],门票价格,免费
210,西湖[浙江省杭州市西湖],湖中一山,孤山
211,西湖[浙江省杭州市西湖],标签,旅游
212,西湖[浙江省杭州市西湖],标签,城市
213,西湖[浙江省杭州市西湖],标签,地形地貌
214,西湖[浙江省杭州市西湖],标签,公园
215,黔灵公园,地理位置,贵阳市
216,黔灵公园,标签,旅游
217,灵山大佛,电话区号,0510
218,灵山大佛,气候条件,亚热带季风气候
219,灵山大佛,景区等级,国家AAAAA级旅游景区
220,灵山大佛,所属城市,无锡市
221,灵山大佛,所属国家,中国
222,灵山大佛,标签,旅游
223,灵山大佛,标签,文化
224,灵山大佛,标签,地理
225,灵山大佛,标签,地点
226,荔波大小七孔,电话区号,0854
227,荔波大小七孔,地貌,中国喀斯特
228,荔波大小七孔,标签,旅游
229,荔波大小七孔,标签,地理
230,荔波大小七孔,标签,地点
231,太湖[江苏湖泊],别名,震泽
232,太湖[江苏湖泊],别名,五湖
233,太湖[江苏湖泊],气候条件,亚热带季风气候
234,太湖[江苏湖泊],所属水系,长江水系
235,太湖[江苏湖泊],所属国家,中国
236,太湖[江苏湖泊],标签,水利部发展研究中心
237,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],气候类型,亚热带季风气候
238,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],开放时间,全天
239,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],门票价格,免费
240,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],所属国家,中国
241,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],车牌代码,湘U
242,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],电话区号,0743
243,天河潭,所属城市,贵州省贵阳市
244,天河潭,地貌,喀斯特地貌
245,天河潭,历史名人,吴中蕃
246,天河潭,建议游玩时长,24小时
247,天河潭,标签,旅游
248,花溪公园,景点级别,AAA级
249,花溪公园,美誉,高原明珠
250,花溪公园,所属国家,中国
251,花溪公园,所属城市,贵州省贵阳市
252,花溪公园,标签,旅游
253,三潭印月[西湖十景之一],气候类型,亚热带季风性气候
254,三潭印月[西湖十景之一],别称,小瀛洲
255,三潭印月[西湖十景之一],所属国家,中国
256,三潭印月[西湖十景之一],标签,旅游
257,三潭印月[西湖十景之一],标签,地理
258,三潭印月[西湖十景之一],标签,地点
259,遵义会议会址,级别批次,第一批全国重点文物保护单位
260,遵义会议会址,批准单位,国务院
261,遵义会议会址,时代,1935年
262,遵义会议会址,标签,地理
263,遵义会议会址,标签,地点
264,黄果树风景名胜区,著名景点,黄果树瀑布
265,黄果树风景名胜区,所属国家,中国
266,黄果树风景名胜区,所属城市,贵州省安顺市
267,黄果树风景名胜区,标签,旅游
268,香港青马大桥,所属国家,中国
269,香港青马大桥,所属干线,香港8号干线
270,香港青马大桥,区号,00852
271,香港青马大桥,标签,旅游
272,香港青马大桥,标签,建筑
273,香港青马大桥,标签,地理
274,香港青马大桥,标签,地点
275,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],气候类型,温带季风气候
276,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],景点级别,国家AAAAA级旅游景区
277,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],始凿年份,公元493年
278,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],别称,伊阙
279,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],保护级别,全国重点文物保护单位
280,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],所属国家,中国
281,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],所属城市,河南省洛阳市
282,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],标签,旅游
283,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],气候类型,温带季风气候
284,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],景点级别,国家AAAAA级旅游景区
285,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,常住院
286,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,初祖庵
287,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,塔林
288,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,大雄宝殿
289,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],著名景点,藏经阁
290,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],开山年份,495年
291,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],宗门,禅宗
292,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],地位,禅宗祖庭
293,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],始建朝代,北魏
294,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],保护级别,全国重点文物保护单位
295,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],现任住持,释永信
296,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],标签,旅游
297,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],标签,佛教
298,户部巷,气候类型,亚热带季风气候
299,户部巷,门票价格,免费
300,户部巷,标签,旅游
301,武汉东湖风景区,电话区号,027
302,武汉东湖风景区,气候条件,亚热带季风气候
303,武汉东湖风景区,机场,武汉天河国际机场
304,武汉东湖风景区,车牌代码,鄂A
305,武汉东湖风景区,所属国家,中国
306,武汉东湖风景区,门票价格,免费
307,武汉东湖风景区,建议游玩时长,一天
308,吉庆街[湖北省武汉市江岸区吉庆街],门票价格,免费
309,吉庆街[湖北省武汉市江岸区吉庆街],所属国家,中国
310,吉庆街[湖北省武汉市江岸区吉庆街],标签,地理
311,吉庆街[湖北省武汉市江岸区吉庆街],标签,地点
312,居庸关,级别,国家级文物保护单位
313,居庸关,标签,遗址
314,居庸关,标签,旅游
315,居庸关,标签,建筑
316,居庸关,标签,地理
317,居庸关,标签,地点
318,石空寺石窟,别名,大佛寺
319,石空寺石窟,行政区类别,宁夏
320,石空寺石窟,所属地区,西北地区
321,石空寺石窟,标签,旅游
322,石空寺石窟,标签,宗教
323,承天寺塔,始建于,1050年
324,承天寺塔,标签,旅游
325,承天寺塔,标签,文化
326,承天寺塔,标签,建筑
327,承天寺塔,标签,地点
328,太白山,所属山系,秦岭山脉
329,太白山,标签,旅游
330,太白山,标签,地理
331,雅鲁藏布江[藏南大河],地理位置,南亚
332,雅鲁藏布江[藏南大河],标签,旅游
333,雅鲁藏布江[藏南大河],标签,地理
334,雅鲁藏布江[藏南大河],标签,地点
335,雅鲁藏布江[藏南大河],标签,地形地貌
336,峨眉山[中国佛教名山，世界文化与自然双遗产],气候类型,亚热带湿润季风气候
337,峨眉山[中国佛教名山，世界文化与自然双遗产],景点级别,国家AAAAA级旅游景区
338,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,旅游
339,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,山脉
340,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,地理
341,峨眉山[中国佛教名山，世界文化与自然双遗产],标签,地点
342,茶马古道[古代中国西南地区商贸通道],开放时间,全天
343,茶马古道[古代中国西南地区商贸通道],保护批次,第七批全国重点文物保护单位
344,茶马古道[古代中国西南地区商贸通道],批准单位,国务院
345,茶马古道[古代中国西南地区商贸通道],标签,地理
346,茶马古道[古代中国西南地区商贸通道],标签,地点
347,茶马古道[古代中国西南地区商贸通道],标签,古代史
348,茶马古道[古代中国西南地区商贸通道],标签,历史
349,白云山[广东省广州市白云山],气候类型,亚热带季风气候
350,白云山[广东省广州市白云山],景点级别,国家AAAAA级旅游景区
351,白云山[广东省广州市白云山],所属国家,中国
352,白云山[广东省广州市白云山],标签,旅游
353,白云山[广东省广州市白云山],标签,山脉
354,白云山[广东省广州市白云山],标签,地点
355,华山[五岳之西岳华山],所属国家,中国
356,华山[五岳之西岳华山],标签,地形地貌
357,华山[五岳之西岳华山],标签,中国文学
358,梵净山[贵州省铜仁市梵净山],电话区号,0856
359,梵净山[贵州省铜仁市梵净山],方言,西南方言
360,梵净山[贵州省铜仁市梵净山],气候条件,亚热带季风气候
361,梵净山[贵州省铜仁市梵净山],机场,铜仁凤凰机场
362,梵净山[贵州省铜仁市梵净山],标签,旅游
363,梵净山[贵州省铜仁市梵净山],标签,地理
364,梵净山[贵州省铜仁市梵净山],标签,地点
365,梵净山[贵州省铜仁市梵净山],标签,地形地貌
366,普吉岛[泰国岛屿],标签,村庄
367,普吉岛[泰国岛屿],标签,旅游
368,普吉岛[泰国岛屿],标签,地点
369,普吉岛[泰国岛屿],标签,地形地貌
370,普吉岛[泰国岛屿],标签,书籍
371,九寨沟国家级自然保护区,所属国家,中国
372,九寨沟国家级自然保护区,标签,旅游
373,都江堰[世界文化遗产、国家5A级旅游景区],气候类型,亚热带季风性湿润气候
374,都江堰[世界文化遗产、国家5A级旅游景区],景点级别,国家AAAAA级旅游景区
375,都江堰[世界文化遗产、国家5A级旅游景区],标签,地点
376,穹窿山,所属国家,中国
377,穹窿山,适宜游玩季节,春秋
378,穹窿山,标签,旅游
379,穹窿山,标签,山脉
380,穹窿山,标签,地形地貌
381,黄山[世界文化与自然双重遗产，国家5A级旅游景区],气候类型,亚热带季风气候
382,黄山[世界文化与自然双重遗产，国家5A级旅游景区],景点级别,国家AAAAA级旅游景区
383,黄山[世界文化与自然双重遗产，国家5A级旅游景区],所属国家,中国
384,黄山[世界文化与自然双重遗产，国家5A级旅游景区],标签,山脉
385,黄山[世界文化与自然双重遗产，国家5A级旅游景区],标签,地形地貌
386,七星岩[广东肇庆七星岩],气候类型,亚热带季风气候
387,七星岩[广东肇庆七星岩],建议游玩时长,半天
388,七星岩[广东肇庆七星岩],适宜游玩季节,全年
389,七星岩[广东肇庆七星岩],标签,自然
390,七星岩[广东肇庆七星岩],标签,旅游
391,七星岩[广东肇庆七星岩],标签,地点
392,七星岩[广东肇庆七星岩],标签,地形地貌
393,千岛湖[新安江水库],建成时间,1960年
394,千岛湖[新安江水库],标签,旅游
395,千岛湖[新安江水库],标签,地点
396,千岛湖[新安江水库],标签,地形地貌
397,羊卓雍措,开放时间,全天
398,羊卓雍措,所属国家,中国
399,羊卓雍措,标签,旅游
400,羊卓雍措,标签,地理
401,羊卓雍措,标签,地点
402,羊卓雍措,标签,地形地貌
403,玛旁雍错,中文名称,玛旁雍措
404,玛旁雍错,开放时间,全天
405,玛旁雍错,标签,旅游
406,崂山[AAAAA级旅游景区],气候类型,暖温带大陆性季风气候
407,崂山[AAAAA级旅游景区],著名景点,棋盘石
408,崂山[AAAAA级旅游景区],所属国家,中国
409,崂山[AAAAA级旅游景区],标签,地理
410,苍山洱海,门票价格,免费
411,苍山洱海,所属国家,中国
412,苍山洱海,标签,旅游
413,苍山洱海,标签,地理
414,苍山洱海,标签,地点
415,博斯腾湖[中国最大的内陆淡水吞吐湖],排泄河流,孔雀河
416,博斯腾湖[中国最大的内陆淡水吞吐湖],平均水深,9米
417,博斯腾湖[中国最大的内陆淡水吞吐湖],标签,旅游
418,博斯腾湖[中国最大的内陆淡水吞吐湖],标签,地理
419,博斯腾湖[中国最大的内陆淡水吞吐湖],标签,地点
420,贝加尔湖[地理湖泊],标签,自然
421,贝加尔湖[地理湖泊],标签,旅游
422,贝加尔湖[地理湖泊],标签,地点
423,圆明园[清代著名皇家园林],气候类型,温带季风性气候
424,圆明园[清代著名皇家园林],景点级别,国家级景区
425,圆明园[清代著名皇家园林],著名景点,大水法
426,圆明园[清代著名皇家园林],著名景点,西洋楼遗址
427,圆明园[清代著名皇家园林],著名景点,方壶胜境
428,圆明园[清代著名皇家园林],地点,北京
429,圆明园[清代著名皇家园林],标签,遗址
430,圆明园[清代著名皇家园林],标签,旅游
431,圆明园[清代著名皇家园林],标签,建筑
432,圆明园[清代著名皇家园林],标签,北京
433,大明山[浙西大明山],别名,千亩田
434,大明山[浙西大明山],行政区类别,12
435,大明山[浙西大明山],所属国家,中国
436,大明山[浙西大明山],标签,旅游
437,大明山[浙西大明山],标签,地形地貌
438,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],气候类型,地中海气候
439,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],开放时间,全天
440,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],湖泊类型,内流湖
441,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],流入,约旦河
442,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,旅游
443,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,地理
444,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,地点
445,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],标签,地形地貌
446,嘉峪关关城,景点级别,国家AAAAA级旅游景区
447,嘉峪关关城,所属国家,中国
448,嘉峪关关城,标签,地点
449,晋祠,批准单位,国务院
450,晋祠,标签,遗址
451,晋祠,标签,旅游
452,武当山[湖北省十堰市武当山],主峰,天柱峰
453,武当山[湖北省十堰市武当山],景点级别,国家AAAAA级旅游景区
454,武当山[湖北省十堰市武当山],所属国家,中国
455,武当山[湖北省十堰市武当山],标签,旅游
456,武当山[湖北省十堰市武当山],标签,山脉
457,百脉泉,景点级别,国家AAAA级旅游景区
458,百脉泉,标签,旅游
459,百脉泉,标签,地点
460,大明湖[济南大明湖],气候类型,温带季风气候
461,大明湖[济南大明湖],景点级别,国家AAAAA级旅游景区
462,大明湖[济南大明湖],著名景点,历下亭
463,大明湖[济南大明湖],著名景点,铁公祠
464,大明湖[济南大明湖],著名景点,南丰祠
465,大明湖[济南大明湖],著名景点,汇波楼
466,大明湖[济南大明湖],景点类型,湖泊
467,大明湖[济南大明湖],标签,旅游
468,鼎湖山,所属山系,泥盆纪
469,鼎湖山,标签,旅游
470,鼎湖山,标签,山脉
471,鼎湖山,标签,地形地貌
472,黄果树瀑布[中国贵州省瀑布],开放时间,全天
473,黄果树瀑布[中国贵州省瀑布],著名景点,坝陵河大桥
474,黄果树瀑布[中国贵州省瀑布],标签,自然资源
475,黄果树瀑布[中国贵州省瀑布],标签,旅游
476,黄果树瀑布[中国贵州省瀑布],标签,地理
477,喀纳斯湖,方言,哈萨克语
478,喀纳斯湖,气候条件,温带大陆性气候
479,喀纳斯湖,机场,喀纳斯机场
480,喀纳斯湖,适宜游玩季节,春夏秋冬
481,喀纳斯湖,标签,旅游
482,喀纳斯湖,标签,地形地貌
483,贵州威宁草海国家级自然保护区,气候类型,温带气候
484,贵州威宁草海国家级自然保护区,所属国家,中国
485,贵州威宁草海国家级自然保护区,标签,旅游
486,草海湖,建立时间,1985年
487,草海湖,标签,旅游
488,草海湖,标签,地点
489,草海湖,标签,地形地貌
490,木渎古镇,气候类型,亚热带季风性湿润气候
491,木渎古镇,标签,行政区划
492,木渎古镇,标签,旅游
493,沂蒙山,景点级别,国家AAAAA级旅游景区
494,中央大街[黑龙江省哈尔滨市中央大街],开放时间,全天
495,中央大街[黑龙江省哈尔滨市中央大街],门票价格,免费
496,中央大街[黑龙江省哈尔滨市中央大街],始建时间,1898年
497,中央大街[黑龙江省哈尔滨市中央大街],所属国家,中国
498,中央大街[黑龙江省哈尔滨市中央大街],标签,旅游
499,花果山[江苏连云港花果山国家5A级旅游景区],气候类型,温带季风气候
500,花果山[江苏连云港花果山国家5A级旅游景区],开放时间,全年
501,花果山[江苏连云港花果山国家5A级旅游景区],景点级别,国家AAAAA级旅游景区
502,花果山[江苏连云港花果山国家5A级旅游景区],别名,苍梧山
503,花果山[江苏连云港花果山国家5A级旅游景区],别名,青峰顶
504,花果山[江苏连云港花果山国家5A级旅游景区],所属国家,中国
505,花果山[江苏连云港花果山国家5A级旅游景区],标签,山脉
506,花果山[江苏连云港花果山国家5A级旅游景区],标签,地形地貌
507,花果山[江苏连云港花果山国家5A级旅游景区],标签,公园
508,吉林雾凇[吉林市自然景观],类别,自然奇观
509,吉林雾凇[吉林市自然景观],标签,自然现象
510,吉林雾凇[吉林市自然景观],标签,旅游
511,八里沟,气候类型,暖温带大陆性季风气候
512,八里沟,景点级别,国家AAAA级景区
513,八里沟,著名景点,一线天
514,八里沟,所属城市,河南省新乡市
515,八里沟,所属国家,中国
516,八里沟,建议游玩时长,一天
517,八里沟,标签,地理
518,八里沟,标签,地点
519,五岳[中国五岳],东岳,泰山
520,五岳[中国五岳],南岳,衡山
521,五岳[中国五岳],西岳,华山
522,五岳[中国五岳],北岳,恒山
523,五岳[中国五岳],中岳,嵩山
524,五岳[中国五岳],标签,旅游
525,五岳[中国五岳],标签,地理
526,五岳[中国五岳],标签,地点
527,五岳[中国五岳],标签,地形地貌
528,龙塔[哈尔滨著名建筑],外文名称,Dragon Tower
529,龙塔[哈尔滨著名建筑],地理位置,中国哈尔滨
530,龙塔[哈尔滨著名建筑],建筑材质,钢
531,龙塔[哈尔滨著名建筑],所属国家,中国
532,龙塔[哈尔滨著名建筑],标签,旅游
533,龙塔[哈尔滨著名建筑],标签,地点
534,葫芦岛[辽宁省地级市],气候条件,温带季风性气候
535,葫芦岛[辽宁省地级市],机场,锦州湾国际机场
536,葫芦岛[辽宁省地级市],原名,锦西市
537,葫芦岛[辽宁省地级市],标签,地理
538,千佛山[山东济南千佛山],气候类型,温带季风气候
539,千佛山[山东济南千佛山],景点级别,国家AAAA级旅游景区
540,千佛山[山东济南千佛山],所属国家,中国
541,千佛山[山东济南千佛山],标签,山脉
542,千佛山[山东济南千佛山],标签,地理
543,千佛山[山东济南千佛山],标签,地点
544,千佛山[山东济南千佛山],标签,地形地貌
