Id,Label,Modularity Class
184,五湖,19
185,长江水系,20
186,水利部发展研究中心,4
187,凤凰古城[湖南湘西凤凰古城、国家AAAA级景区],11
188,湘U,16
189,0743,29
190,天河潭,43
191,贵州省贵阳市,43
192,喀斯特地貌,20
193,吴中蕃,10
194,24小时,40
195,花溪公园,43
196,AAA级,29
197,高原明珠,1
198,三潭印月[西湖十景之一],21
199,亚热带季风性气候,5
200,小瀛洲,21
201,遵义会议会址,7
202,第一批全国重点文物保护单位,16
203,国务院,7
204,1935年,14
205,黄果树风景名胜区,35
206,黄果树瀑布,15
207,贵州省安顺市,35
208,香港青马大桥,22
209,香港8号干线,10
210,00852,27
211,龙门石窟[世界文化遗产、5A级景区、河南洛阳龙门石窟],0
212,温带季风气候,6
213,公元493年,1
214,伊阙,9
215,全国重点文物保护单位,0
216,河南省洛阳市,33
217,少林寺[世界文化遗产、5A级景区、河南嵩山少林寺],0
218,常住院,29
219,初祖庵,21
220,塔林,5
221,大雄宝殿,21
222,藏经阁,7
223,495年,20
224,禅宗,16
225,禅宗祖庭,12
226,北魏,7
227,释永信,44
228,佛教,8
229,户部巷,4
230,武汉东湖风景区,21
231,027,45
232,武汉天河国际机场,21
233,鄂A,7
234,一天,3
235,吉庆街[湖北省武汉市江岸区吉庆街],4
236,居庸关,15
237,国家级文物保护单位,14
238,遗址,15
239,石空寺石窟,20
240,大佛寺,20
241,宁夏,14
242,西北地区,46
243,宗教,23
244,承天寺塔,44
245,1050年,44
246,太白山,15
247,秦岭山脉,15
248,雅鲁藏布江[藏南大河],42
249,南亚,42
250,峨眉山[中国佛教名山，世界文化与自然双遗产],34
251,亚热带湿润季风气候,34
252,山脉,7
253,茶马古道[古代中国西南地区商贸通道],23
254,古代史,19
255,白云山[广东省广州市白云山],7
256,华山[五岳之西岳华山],40
257,中国文学,40
258,梵净山[贵州省铜仁市梵净山],11
259,0856,6
260,西南方言,20
261,铜仁凤凰机场,46
262,普吉岛[泰国岛屿],22
263,村庄,20
264,书籍,22
265,九寨沟国家级自然保护区,15
266,都江堰[世界文化遗产、国家5A级旅游景区],0
267,亚热带季风性湿润气候,16
268,穹窿山,7
269,春秋,36
270,黄山[世界文化与自然双重遗产，国家5A级旅游景区],7
271,七星岩[广东肇庆七星岩],14
272,自然,22
273,千岛湖[新安江水库],8
274,1960年,8
275,羊卓雍措,14
276,玛旁雍错,16
277,玛旁雍措,16
278,崂山[AAAAA级旅游景区],3
279,暖温带大陆性季风气候,3
280,棋盘石,7
281,苍山洱海,47
282,博斯腾湖[中国最大的内陆淡水吞吐湖],44
283,孔雀河,21
284,9米,47
285,贝加尔湖[地理湖泊],22
286,圆明园[清代著名皇家园林],7
287,温带季风性气候,0
288,国家级景区,9
289,大水法,26
290,西洋楼遗址,7
291,方壶胜境,16
292,北京,15
293,大明山[浙西大明山],21
294,千亩田,21
295,12,18
296,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],9
297,地中海气候,29
298,内流湖,9
299,约旦河,14
300,嘉峪关关城,26
301,晋祠,7
302,武当山[湖北省十堰市武当山],0
303,天柱峰,14
304,百脉泉,22
305,国家AAAA级旅游景区,22
306,大明湖[济南大明湖],0
307,历下亭,7
308,铁公祠,46
309,南丰祠,16
310,汇波楼,25
311,湖泊,0
312,鼎湖山,7
313,泥盆纪,20
314,黄果树瀑布[中国贵州省瀑布],9
315,坝陵河大桥,9
316,自然资源,9
317,喀纳斯湖,8
318,哈萨克语,8
319,温带大陆性气候,8
320,喀纳斯机场,8
321,春夏秋冬,26
322,贵州威宁草海国家级自然保护区,16
323,温带气候,16
324,草海湖,28
325,1985年,28
326,木渎古镇,16
327,行政区划,7
328,沂蒙山,0
329,中央大街[黑龙江省哈尔滨市中央大街],4
330,1898年,20
331,花果山[江苏连云港花果山国家5A级旅游景区],7
332,苍梧山,34
333,青峰顶,0
334,吉林雾凇[吉林市自然景观],48
335,自然奇观,48
336,自然现象,29
337,八里沟,20
338,国家AAAA级景区,14
339,一线天,1
340,河南省新乡市,20
341,五岳[中国五岳],21
342,泰山,41
343,衡山,21
344,华山,29
345,恒山,6
346,嵩山,14
347,龙塔[哈尔滨著名建筑],21
348,Dragon Tower,42
349,中国哈尔滨,21
350,钢,29
351,葫芦岛[辽宁省地级市],34
352,锦州湾国际机场,34
353,锦西市,6
354,千佛山[山东济南千佛山],7
