Id,Label,Modularity Class
232,武汉天河国际机场,2
233,鄂A,2
234,一天,2
235,吉庆街[湖北省武汉市江岸区吉庆街],2
236,居庸关,0
237,国家级文物保护单位,0
238,遗址,4
239,石空寺石窟,13
240,大佛寺,13
241,宁夏,13
242,西北地区,13
243,宗教,13
244,承天寺塔,5
245,1050年,5
246,太白山,0
247,秦岭山脉,0
248,雅鲁藏布江[藏南大河],0
249,南亚,0
250,峨眉山[中国佛教名山，世界文化与自然双遗产],0
251,亚热带湿润季风气候,0
252,山脉,2
253,茶马古道[古代中国西南地区商贸通道],4
254,古代史,4
255,白云山[广东省广州市白云山],2
256,华山[五岳之西岳华山],2
257,中国文学,2
258,梵净山[贵州省铜仁市梵净山],0
259,0856,0
260,西南方言,0
261,铜仁凤凰机场,0
262,普吉岛[泰国岛屿],0
263,村庄,0
264,书籍,0
265,九寨沟国家级自然保护区,2
266,都江堰[世界文化遗产、国家5A级旅游景区],16
267,亚热带季风性湿润气候,16
268,穹窿山,2
269,春秋,2
270,黄山[世界文化与自然双重遗产，国家5A级旅游景区],2
271,七星岩[广东肇庆七星岩],0
272,自然,0
273,千岛湖[新安江水库],0
274,1960年,0
275,羊卓雍措,0
276,玛旁雍错,7
277,玛旁雍措,7
278,崂山[AAAAA级旅游景区],10
279,暖温带大陆性季风气候,10
280,棋盘石,10
281,苍山洱海,0
282,博斯腾湖[中国最大的内陆淡水吞吐湖],0
283,孔雀河,0
284,9米,0
285,贝加尔湖[地理湖泊],0
286,圆明园[清代著名皇家园林],4
287,温带季风性气候,4
288,国家级景区,4
289,大水法,4
290,西洋楼遗址,4
291,方壶胜境,4
292,北京,4
293,大明山[浙西大明山],0
294,千亩田,0
295,12,0
296,死海[以色列，巴勒斯坦，约旦交界的内陆盐湖],0
297,地中海气候,0
298,内流湖,0
299,约旦河,0
300,嘉峪关关城,2
301,晋祠,4
302,武当山[湖北省十堰市武当山],2
303,天柱峰,2
304,百脉泉,0
305,国家AAAA级旅游景区,0
306,大明湖[济南大明湖],11
307,历下亭,11
308,铁公祠,11
309,南丰祠,11
310,汇波楼,11
311,湖泊,11
312,鼎湖山,2
313,泥盆纪,2
314,黄果树瀑布[中国贵州省瀑布],7
315,坝陵河大桥,7
316,自然资源,7
317,喀纳斯湖,14
318,哈萨克语,14
319,温带大陆性气候,14
320,喀纳斯机场,14
321,春夏秋冬,14
322,贵州威宁草海国家级自然保护区,2
323,温带气候,2
324,草海湖,0
325,1985年,0
326,木渎古镇,16
327,行政区划,16
328,沂蒙山,2
329,中央大街[黑龙江省哈尔滨市中央大街],2
330,1898年,2
331,花果山[江苏连云港花果山国家5A级旅游景区],2
332,苍梧山,2
333,青峰顶,2
334,吉林雾凇[吉林市自然景观],20
335,自然奇观,20
336,自然现象,20
337,八里沟,10
338,国家AAAA级景区,10
339,一线天,10
340,河南省新乡市,10
341,五岳[中国五岳],0
342,泰山,0
343,衡山,0
344,华山,0
345,恒山,0
346,嵩山,0
347,龙塔[哈尔滨著名建筑],17
348,Dragon Tower,17
349,中国哈尔滨,17
350,钢,17
351,葫芦岛[辽宁省地级市],4
352,锦州湾国际机场,4
353,锦西市,4
354,千佛山[山东济南千佛山],0
