华硕[世界著名电脑品牌],创立时间,1989年
山下智久,主要作品,火星异种
山下智久,主要作品,明日之丈
山下智久,主要作品,诈欺猎人
山下智久,标签,人物
泷泽秀明,国籍,日本
泷泽秀明,星座,白羊座
泷泽秀明,血型,A型
泷泽秀明,出生日期,1982年3月29日
泷泽秀明,职业,演员
泷泽秀明,职业,歌手
泷泽秀明,经纪公司,杰尼斯事务所
泷泽秀明,代表作品,魔女的条件
泷泽秀明,代表作品,新闻女郎
泷泽秀明,代表作品,义
泷泽秀明,代表作品,太阳的季节
泷泽秀明,前女友,铃木亚美
泷泽秀明,好友,村上信五
泷泽秀明,搭档,椎名桔平
泷泽秀明,主要作品,毫不保留的爱
泷泽秀明,主要作品,HAMU 公安警察之男
泷泽秀明,主要作品,深夜烘焙坊
泷泽秀明,主要作品,恶党
泷泽秀明,主要作品,双头魔犬
泷泽秀明,主要作品,无从告知
泷泽秀明,主要作品,雪之丞变化
泷泽秀明,主要作品,罗密欧与朱丽叶
泷泽秀明,主要作品,里见八犬传
泷泽秀明,主要作品,义经
泷泽秀明,主要作品,爸爸的海，我的天空
泷泽秀明,主要作品,只属于我的女神
泷泽秀明,主要作品,西洋古董洋果子店
泷泽秀明,主要作品,SPEED STAR
泷泽秀明,主要作品,蛋糕上的草莓
泷泽秀明,主要作品,太阳不西沉
泷泽秀明,主要作品,平成小气夫妇
泷泽秀明,主要作品,我们的旅行
泷泽秀明,主要作品,元禄缭乱
泷泽秀明,主要作品,童使
泷泽秀明,主要作品,川流不息
泷泽秀明,标签,人物
berryz工房,国籍,日本
正太,性别,男
正太,开放分类,流行语
正太,标签,漫画
正太,标签,互联网
谢霆锋,职业,唱作人
桥本丽香,国籍,日本
李准基,血型,B型
郭美美[炫富女郭美玲网名],星座,双子座
裴涩琪,血型,B型
张学友,血型,B型
张学友,代表作品,情书
黄贯中,血型,B型
黄贯中,主要作品,生死恋
杰尼斯事务所,成立时间,1975年
杰尼斯事务所,经营范围,日本
杰尼斯事务所,标签,社会
魔力宝贝[2002年日本ENIX公司开发的PC端MMORPG游戏],地区,日韩
推理之绊[城平京原作漫画],作画,水野英多
推理之绊[城平京原作漫画],地区,日本
推理之绊[城平京原作漫画],标签,动画
光良,血型,B型
光良,代表作品,勇气
金喜善,星座,双子座
舒畅[1987年出生的中国内地女演员],主要作品,赏金猎人
成龙[中国香港演员、导演],代表作品,一个好人
成龙[中国香港演员、导演],主要作品,伊贺忍法帖
伊藤英明,国籍,日本
伊藤英明,民族,大和
伊藤英明,星座,狮子座
伊藤英明,血型,O型
伊藤英明,职业,演员
伊藤英明,经纪公司,A-Team
伊藤英明,好友,坂口宪二
伊藤英明,代表作品,海猿
伊藤英明,代表作品,救命病栋24小时
伊藤英明,主要作品,我的危险妻子
伊藤英明,主要作品,罪人的谎言
伊藤英明,主要作品,昼颜
伊藤英明,主要作品,单身贵族
伊藤英明,主要作品,最遥远的银河
伊藤英明,主要作品,白虎队
伊藤英明,主要作品,世界奇妙物语2012年秋季特别篇
伊藤英明,主要作品,爱的代价
伊藤英明,主要作品,高中生餐厅
伊藤英明,主要作品,零秒出手
伊藤英明,主要作品,警官之血
伊藤英明,主要作品,252发现幸存者
伊藤英明,主要作品,世界奇妙物语
伊藤英明,主要作品,轮违屋糸里
伊藤英明,主要作品,初吻
伊藤英明,主要作品,孤独的赌注
伊藤英明,主要作品,不被神爱的男人
伊藤英明,主要作品,垃圾律师
伊藤英明,主要作品,国盗物语
伊藤英明,主要作品,白色巨塔
伊藤英明,主要作品,红胡子
伊藤英明,主要作品,天体观测
伊藤英明,主要作品,好久没恋爱
伊藤英明,主要作品,请给我爱
伊藤英明,主要作品,夜叉
伊藤英明,主要作品,三十拉警报
伊藤英明,主要作品,一切为你
伊藤英明,主要作品,利家与松
伊藤英明,主要作品,嫉妒女人香
伊藤英明,主要作品,OUT娇妻犯罪档案
伊藤英明,主要作品,猎男高手
伊藤英明,主要作品,三月的狮子
伊藤英明,主要作品,火星异种
伊藤英明,主要作品,修罗雪姬
伊藤英明,主要作品,秘密
伊藤英明,主要作品,走火入魔
伊藤英明,主要作品,Blister
伊藤英明,主要作品,阴阳师
伊藤英明,主要作品,寿喜烧西部片
伊藤英明,主要作品,卡姆依外传
伊藤英明,主要作品,海猿3：最后的讯息
伊藤英明,主要作品,安达卢西亚：女神的报复
伊藤英明,主要作品,海猿4：勇敢的心
伊藤英明,主要作品,恶之教典
伊藤英明,主要作品,喰女
伊藤英明,标签,人物
薛之谦[中国内地男歌手、音乐制作人、演员],主要作品,网球王子
在熙,星座,双子座
陈佳[邓丽君文教基金会签约歌手],血型,AB
陈晓东[中国香港歌手、演员],别名,东东
陈晓东[中国香港歌手、演员],血型,B型
陈晓东[中国香港歌手、演员],代表作品,水瓶座
雪儿·克罗,星座,水瓶座
滨崎步,国籍,日本
滨崎步,民族,大和民族
滨崎步,星座,天秤座
滨崎步,血型,A型
滨崎步,出生日期,1978年10月2日
滨崎步,毕业院校,堀越高校
滨崎步,前男友,长濑智也
滨崎步,前男友,曼纽尔·舒尔茨
滨崎步,好友,深田恭子
滨崎步,搭档,京野琴美
滨崎步,搭档,伊势谷友介
滨崎步,代表作品,摩尔质量
滨崎步,代表作品,dearest
滨崎步,代表作品,TO BE
滨崎步,主要作品,未成年
滨崎步,主要作品,沉月
滨崎步,主要作品,紫眸少女
滨崎步,主要作品,流砂幻爱
滨崎步,标签,演员
滨崎步,标签,歌手
滨崎步,标签,模特
滨崎步,标签,人物
钢之炼金术师[BONES公司2003年改编的电视动画],其他名称,Fullmetal Alchemist
钢之炼金术师[BONES公司2003年改编的电视动画],地区,日本
钢之炼金术师[BONES公司2003年改编的电视动画],原作,荒川弘
钢之炼金术师[BONES公司2003年改编的电视动画],导演,水岛精二
钢之炼金术师[BONES公司2003年改编的电视动画],角色设计,伊藤嘉之
钢之炼金术师[BONES公司2003年改编的电视动画],音乐,大岛满
钢之炼金术师[BONES公司2003年改编的电视动画],发行,ANIPLEX
周渝民,星座,双子座
刘若英,星座,双子座
越前龙马,生日,12月24日
越前龙马,性别,男
越前龙马,血型,O型
越前龙马,国籍,美国
越前龙马,出生地,美国洛杉矶
越前龙马,星座,摩羯座
越前龙马,发色,墨绿色
越前龙马,眸色,琥珀色
越前龙马,座右铭,All or Nothing
越前龙马,惯用手,左手
越前龙马,标签,虚拟人物
仓木麻衣,国籍,日本
仓木麻衣,民族,和族
仓木麻衣,星座,天蝎座
仓木麻衣,血型,B型
仓木麻衣,职业,歌手
仓木麻衣,职业,作词家
仓木麻衣,毕业院校,立命馆大学
仓木麻衣,代表作品,Secret Of My Heart
仓木麻衣,代表作品,Time after time～在落花纷飞的街道上～
仓木麻衣,代表作品,secret of my heart
仓木麻衣,标签,人物
维尼[美国迪士尼卡通角色],登场作品,《小熊维尼》
维尼[美国迪士尼卡通角色],标签,动画
维尼[美国迪士尼卡通角色],标签,人物
陈冠希[加拿大温哥华籍歌手、演员],主要作品,咒怨2
杭州[浙江省省会],别名,临安
杭州[浙江省省会],别名,钱塘
杭州[浙江省省会],别名,武林
杭州[浙江省省会],行政区类别,地级市
杭州[浙江省省会],气候条件,亚热带季风气候
杭州[浙江省省会],机场,杭州萧山国际机场
杭州[浙江省省会],市委书记,——
杭州[浙江省省会],市长,徐立毅
杭州[浙江省省会],标签,地理
养鸡[中国内地流行乐男歌手],别名,张航
养鸡[中国内地流行乐男歌手],民族,汉族
养鸡[中国内地流行乐男歌手],星座,水瓶座
养鸡[中国内地流行乐男歌手],出生地,重庆市
养鸡[中国内地流行乐男歌手],出生日期,1991年2月6日
养鸡[中国内地流行乐男歌手],代表作品,网球王子
养鸡[中国内地流行乐男歌手],代表作品,风油精
养鸡[中国内地流行乐男歌手],代表作品,超新星
养鸡[中国内地流行乐男歌手],标签,人物
妮可·基德曼,星座,双子座
妮可·基德曼,血型,B型
妮可·基德曼,主要作品,铁路劳工
w-inds.,国籍,日本
幸田来未[幸田来未],国籍,日本
幸田来未[幸田来未],民族,大和族
王小丫,星座,水瓶座
藤野严九郎,国籍,日本
藤野严九郎,民族,大和民族
藤野严九郎,逝世日期,1945年8月11日
藤野严九郎,标签,医生
藤野严九郎,标签,人物
杨幂,血型,B型
杨幂,主要作品,相逢何必曾相识
矢泽爱,国籍,日本
矢泽爱,出生地,兵库县
矢泽爱,职业,漫画家
矢泽爱,代表作品,《NANA》
矢泽爱,性别,女
矢泽爱,标签,漫画
矢泽爱,标签,动画
矢泽爱,标签,人物
徐静蕾,血型,B型
徐静蕾,主要作品,情书
安室奈美惠,国籍,日本
安室奈美惠,民族,琉球族
安室奈美惠,星座,处女座
安室奈美惠,血型,O型
安室奈美惠,出生日期,1977年9月20日
安室奈美惠,职业,歌手
安室奈美惠,职业,演员
安室奈美惠,经纪公司,VISION FACTORY
安室奈美惠,老师,小室哲哉
安室奈美惠,代表作品,Can You Celebrate
安室奈美惠,代表作品,BEST FICTION
安室奈美惠,主要作品,史上最大作弊战争
安室奈美惠,标签,人物
野村万斋,国籍,日本
野村万斋,民族,大和民族
野村万斋,星座,白羊座
野村万斋,身高,174
野村万斋,体重,58
野村万斋,职业,狂言师
野村万斋,代表作品,阴阳师
野村万斋,代表作品,乱
野村万斋,主要作品,傀儡之城
野村万斋,主要作品,阴阳师2
野村万斋,标签,人物
由贵香织里,国籍,日本
由贵香织里,血型,B型
由贵香织里,职业,漫画家
黄雅莉[中国内地女歌手],血型,B型
hellokitty[卡通人物],国籍,日本
小红莓乐队,组建时间,1989年
精灵宝可梦[汤山邦彦执导的日本动画系列],首播电视台,东京电视台
张子萱,星座,水瓶座
黄海冰,血型,B型
黄海冰,主要作品,爱在离别时
深田恭子,国籍,日本
深田恭子,民族,大和
深田恭子,星座,天蝎座
深田恭子,血型,O型
深田恭子,出生日期,1982年11月2日
深田恭子,职业,演员
深田恭子,职业,歌手
深田恭子,毕业院校,堀越高等学校
深田恭子,代表作品,神啊，请多给我一点时间
深田恭子,代表作品,下妻物语
深田恭子,好友,宇多田光
深田恭子,同门,绫濑遥
深田恭子,代表作品,神啊，请给我多一点时间
深田恭子,代表作品,富豪刑警
深田恭子,主要作品,请与废柴的我谈恋爱
深田恭子,主要作品,second love
深田恭子,主要作品,Silent Poor
深田恭子,主要作品,无名毒
深田恭子,主要作品,危险关系
深田恭子,主要作品,作别于今日
深田恭子,主要作品,东京机场管制保安部
深田恭子,主要作品,平清盛
深田恭子,主要作品,专业主妇侦探
深田恭子,主要作品,幻夜
深田恭子,主要作品,第二处女
深田恭子,主要作品,虹色夏恋
深田恭子,主要作品,华丽的间谍
深田恭子,主要作品,黑部的太阳
深田恭子,主要作品,天地人
深田恭子,主要作品,世界奇妙物语08秋季特别篇
深田恭子,主要作品,学校学不到的事
深田恭子,主要作品,未来讲师
深田恭子,主要作品,蓝眸与云
深田恭子,主要作品,神探伽利略
深田恭子,主要作品,留芳颂
深田恭子,主要作品,峰女壁女
深田恭子,主要作品,我脑中的橡皮擦
深田恭子,主要作品,大奥SP另一个故事
深田恭子,主要作品,赤色奇迹
深田恭子,主要作品,想要幸福
深田恭子,主要作品,圣诞节，最讨厌了
深田恭子,主要作品,徳川纲吉~被称作狗的男人
深田恭子,主要作品,阿南的小情人
深田恭子,主要作品,农情芳心
深田恭子,主要作品,她已不在人间
深田恭子,主要作品,二人姐妹
深田恭子,主要作品,两个人一起走的路
深田恭子,主要作品,遥控刑警
深田恭子,主要作品,鱼腩部队开波
深田恭子,主要作品,意中人
深田恭子,主要作品,first love
深田恭子,主要作品,命运之恋
深田恭子,主要作品,世界奇妙物语2001春季特别篇
深田恭子,主要作品,蛋糕上的草莓
深田恭子,主要作品,TEAM团队SP
深田恭子,主要作品,大胃王
深田恭子,主要作品,爱情梦幻
深田恭子,主要作品,离天国最近的男人SP
深田恭子,主要作品,天国之吻
深田恭子,主要作品,To Heart
深田恭子,主要作品,鬼之栖家
深田恭子,主要作品,新闻女郎
深田恭子,主要作品,这就是答案
深田恭子,主要作品,少女特搜组
深田恭子,主要作品,海峡
深田恭子,主要作品,室友
深田恭子,主要作品,毛骨悚然撞鬼经夏季特别篇2013
深田恭子,主要作品,WILD7
深田恭子,主要作品,黎明之城
深田恭子,主要作品,乌龙派出所电影版：封锁胜哄桥
深田恭子,主要作品,豆富小僧
深田恭子,主要作品,恋爱戏曲：请与我恋爱吧
深田恭子,主要作品,乌鲁鲁的森林物语
深田恭子,主要作品,小双侠
深田恭子,主要作品,犬神家族
深田恭子,主要作品,天使
深田恭子,主要作品,阴阳师2
深田恭子,主要作品,玩偶
深田恭子,主要作品,午夜凶铃2之贞子缠身
深田恭子,主要作品,新宿少年侦探团
首尔[韩国首都],电话区号,02
首尔[韩国首都],市长,朴元淳
首尔[韩国首都],市花,连翘
首尔[韩国首都],市鸟,喜鹊
首尔[韩国首都],市树,银杏
hikaru,国籍,日本
火影[动漫《火影忍者》中五影之一],初代火影,千手柱间
火影[动漫《火影忍者》中五影之一],二代目火影,千手扉间
火影[动漫《火影忍者》中五影之一],三代目火影,猿飞日斩
火影[动漫《火影忍者》中五影之一],四代目火影,波风水门
火影[动漫《火影忍者》中五影之一],五代目火影,千手纲手
火影[动漫《火影忍者》中五影之一],六代目火影,旗木卡卡西
火影[动漫《火影忍者》中五影之一],七代目火影,漩涡鸣人
火影[动漫《火影忍者》中五影之一],代理火影,志村团藏
火影[动漫《火影忍者》中五影之一],管理范围,木叶忍者村
火影[动漫《火影忍者》中五影之一],标签,漫画
火影[动漫《火影忍者》中五影之一],标签,人物
芹泽蕾拉,配音,平野绫
伽利略·伽利雷,星座,水瓶座
周传雄[中国台湾流行乐男歌手、音乐制作人],星座,双子座
霹雳布袋戏,标签,动画作品
华少翌,国籍,中国
华少翌,星座,天秤座
华少翌,血型,AB
华少翌,出生日期,10月12日
华少翌,标签,歌手
华少翌,标签,模特
华少翌,标签,人物
林峰[中国香港男歌手、演员],主要作品,大泼猴
小魔女DoReMi[东堂泉制作电视动画],地区,日本
小魔女DoReMi[东堂泉制作电视动画],角色设计,马越嘉彦
小魔女DoReMi[东堂泉制作电视动画],音乐,奥庆一
小魔女DoReMi[东堂泉制作电视动画],监修,佐藤顺一
小魔女DoReMi[东堂泉制作电视动画],作品类型,魔法少女
小魔女DoReMi[东堂泉制作电视动画],标签,动画作品
茅盾文学奖,标签,字词
恶搞,源地,日本
恶搞,标签,动画
赤西仁,国籍,日本
赤西仁,星座,巨蟹座
赤西仁,血型,O型
赤西仁,出生日期,1984年7月4日
赤西仁,职业,歌手
赤西仁,职业,演员
赤西仁,职业,音乐制作
赤西仁,代表作品,极道鲜师2
赤西仁,代表作品,有闲俱乐部
赤西仁,代表作品,BANDAGE
赤西仁,配偶,黑木明纱
赤西仁,好友,城田优
赤西仁,代表作品,anego
赤西仁,主要作品,大泼猴
赤西仁,主要作品,午夜计程车第二季
赤西仁,主要作品,圣诞节，最讨厌了
赤西仁,主要作品,抢钱大作战
赤西仁,主要作品,史上最恶约会
赤西仁,主要作品,太阳不西沉
赤西仁,主要作品,霓裳梦想家
赤西仁,主要作品,恐怖星期天
赤西仁,主要作品,真情姐妹花
赤西仁,主要作品,青春男孩
赤西仁,主要作品,四十七浪人
赤西仁,标签,人物
郭敬明,星座,双子座
田口淳之介,国籍,日本
田口淳之介,民族,大和民族
田口淳之介,星座,射手座
田口淳之介,血型,AB型
田口淳之介,出生日期,1985年11月29日
田口淳之介,职业,歌手
田口淳之介,职业,演员
田口淳之介,代表作品,有闲俱乐部
田口淳之介,代表作品,今天不上班
田口淳之介,代表作品,LEGAL HIGH
田口淳之介,标签,人物
上田龙也,国籍,日本
上田龙也,民族,大和族
上田龙也,星座,天秤座
上田龙也,血型,B型
上田龙也,职业,歌手
上田龙也,经纪公司,杰尼斯事务所
上田龙也,代表作品,敏行快跑
上田龙也,代表作品,Runaway～为了心爱的你
上田龙也,代表作品,结婚万岁
上田龙也,主要作品,新宿SEVEN
上田龙也,主要作品,史上最恶约会
上田龙也,主要作品,恐怖星期天
上田龙也,标签,演员
上田龙也,标签,人物
K&#39;,标签,漫画
CG[CG影视动画],中文名,计算机动画
CG[CG影视动画],标签,动画作品
AIR[日本京都动画制作电视动画],导演,石原立也
AIR[日本京都动画制作电视动画],编剧,志茂文彦
AIR[日本京都动画制作电视动画],首播电视台,BS-i
AIR[日本京都动画制作电视动画],标签,动画作品
中丸雄一,别名,丸子
中丸雄一,国籍,日本
中丸雄一,星座,处女座
中丸雄一,血型,O型
中丸雄一,职业,歌手
中丸雄一,职业,演员
中丸雄一,毕业院校,早稻田大学
中丸雄一,经纪公司,杰尼斯事务所
中丸雄一,标签,人物
城田优,别名,U
城田优,国籍,西班牙
城田优,星座,摩羯座
城田优,血型,O型
城田优,职业,演员
城田优,职业,歌手
城田优,毕业院校,嘉悦大学
城田优,代表作品,纯爱新娘
城田优,代表作品,网球王子
城田优,代表作品,失恋保险
城田优,代表作品,交涉人
城田优,好友,福田沙纪
城田优,主要作品,再见黑鸟
城田优,主要作品,勇者义彦与被引导的七人
