实体,属性,值
泽尻绘里香,主要作品,钟表店的女儿
泽尻绘里香,主要作品,有关恶女
泽尻绘里香,主要作品,L et M我爱你的理由和其他的故事
泽尻绘里香,主要作品,一公升的眼泪特别篇~追忆~
泽尻绘里香,主要作品,零的彼方~THE WINDS OF GOD~
泽尻绘里香,主要作品,牵绊的爱
泽尻绘里香,主要作品,给天堂的加油歌
泽尻绘里香,主要作品,月在冬天的天空闪耀
泽尻绘里香,主要作品,直到樱花绽放
泽尻绘里香,主要作品,献给一个夏天的爸爸
泽尻绘里香,主要作品,热血男儿
泽尻绘里香,主要作品,朋友
龟梨和也,国籍,日本
龟梨和也,星座,双鱼座
龟梨和也,血型,B型
龟梨和也,出生日期,1986年2月23日
龟梨和也,职业,歌手
龟梨和也,职业,演员
龟梨和也,职业,主持人
龟梨和也,职业,主播
龟梨和也,职业,制作人
龟梨和也,经纪公司,杰尼斯事务所
龟梨和也,代表作品,妖怪人间贝姆
龟梨和也,代表作品,野猪大改造
龟梨和也,代表作品,唯爱
龟梨和也,代表作品,极道鲜师2
龟梨和也,代表作品,完美小姐进化论
龟梨和也,好友,坂本勇人
龟梨和也,好友,西冈刚
龟梨和也,主要作品,FINAL CUT
龟梨和也,主要作品,我命中注定的人
龟梨和也,主要作品,怪盗山猫
龟梨和也,主要作品,东京风潮～下町大家族物语
龟梨和也,主要作品,屠龙青年团
龟梨和也,主要作品,MR.BRAIN
龟梨和也,主要作品,神之雫
龟梨和也,主要作品,一磅的福音
龟梨和也,主要作品,特急田中三号
龟梨和也,主要作品,勇气
龟梨和也,主要作品,恋爱补给品
龟梨和也,主要作品,史上最恶约会
龟梨和也,主要作品,美丽之星
龟梨和也,主要作品,P和JK
龟梨和也,主要作品,温哥华的朝日
龟梨和也,主要作品,俺俺
龟梨和也,主要作品,极道鲜师电影版
森久保祥太郎,国籍,日本
森久保祥太郎,星座,双鱼座
森久保祥太郎,血型,B型
森久保祥太郎,职业,声优
森久保祥太郎,职业,演员
森久保祥太郎,职业,歌手
森久保祥太郎,职业,吉他手
森久保祥太郎,职业,DJ
森久保祥太郎,职业,监督
森久保祥太郎,职业,脚本家
森久保祥太郎,职业,主持人
森久保祥太郎,出道时间,1996年
森久保祥太郎,婚姻状况,已婚
森久保祥太郎,讨厌的食物,水果
森久保祥太郎,诞生花,玫瑰
森久保祥太郎,最喜欢的花,向日葵
森久保祥太郎,前妻,浅川悠
森久保祥太郎,好友,伊藤健太郎
森久保祥太郎,代表作品,航海王
森久保祥太郎,代表作品,闪灵二人组
森久保祥太郎,代表作品,火影忍者
森久保祥太郎,代表作品,薄樱鬼
山下智久,别名,山P
山下智久,国籍,日本
山下智久,民族,大和民族
山下智久,星座,白羊座
山下智久,血型,A型
山下智久,出生日期,1985年4月9日
山下智久,职业,歌手
山下智久,职业,演员
山下智久,经纪公司,杰尼斯事务所
山下智久,代表作品,野猪大改造
山下智久,代表作品,求婚大作战
山下智久,代表作品,零秒出手
山下智久,代表作品,Code Blue
山下智久,代表作品,SUMMER NUDE
山下智久,代表作品,献给阿尔吉侬的花束
山下智久,妹妹,山下莉奈
山下智久,好友,城田优
山下智久,好友,泷泽秀明
山下智久,好友,山崎努
山下智久,代表作品,CODE BLUE
山下智久,代表作品,近距离恋爱
山下智久,主要作品,我命中注定的人
山下智久,主要作品,朝5晚9~帅气和尚爱上我~
山下智久,主要作品,MONSTERS
山下智久,主要作品,最完美的人生终点
山下智久,主要作品,欺诈猎人
山下智久,主要作品,龙樱
山下智久,主要作品,像暴风雨般的恋爱
山下智久,主要作品,Stand UP!!
山下智久,主要作品,午餐女王
山下智久,主要作品,漂流教室
山下智久,主要作品,不平则鸣
山下智久,主要作品,池袋西口公园
山下智久,主要作品,危险关系
山下智久,主要作品,青春男孩
山下智久,主要作品,青春少年们
山下智久,主要作品,解码者
山下智久,主要作品,火星异种
山下智久,主要作品,明日之丈
山下智久,主要作品,诈欺猎人
泷泽秀明,国籍,日本
泷泽秀明,星座,白羊座
泷泽秀明,血型,A型
泷泽秀明,出生日期,1982年3月29日
泷泽秀明,职业,演员
泷泽秀明,职业,歌手
泷泽秀明,经纪公司,杰尼斯事务所
泷泽秀明,代表作品,魔女的条件
泷泽秀明,代表作品,新闻女郎
泷泽秀明,代表作品,义
泷泽秀明,代表作品,太阳的季节
泷泽秀明,前女友,铃木亚美
泷泽秀明,好友,村上信五
泷泽秀明,搭档,椎名桔平
泷泽秀明,主要作品,毫不保留的爱
泷泽秀明,主要作品,HAMU 公安警察之男
泷泽秀明,主要作品,深夜烘焙坊
泷泽秀明,主要作品,恶党
泷泽秀明,主要作品,双头魔犬
泷泽秀明,主要作品,无从告知
泷泽秀明,主要作品,雪之丞变化
泷泽秀明,主要作品,罗密欧与朱丽叶
泷泽秀明,主要作品,里见八犬传
泷泽秀明,主要作品,义经
泷泽秀明,主要作品,爸爸的海，我的天空
泷泽秀明,主要作品,只属于我的女神
泷泽秀明,主要作品,西洋古董洋果子店
泷泽秀明,主要作品,SPEED STAR
泷泽秀明,主要作品,蛋糕上的草莓
泷泽秀明,主要作品,太阳不西沉
泷泽秀明,主要作品,平成小气夫妇
泷泽秀明,主要作品,我们的旅行
泷泽秀明,主要作品,元禄缭乱
泷泽秀明,主要作品,童使
泷泽秀明,主要作品,川流不息
绿茶[茶叶品种],别称,苦茗
绿茶[茶叶品种],是否含防腐剂,否
馒头[中国传统食物],是否含防腐剂,否
馒头[中国传统食物],副作用,无
馒头[中国传统食物],储藏方法,冷藏
馒头[中国传统食物],发明地区,南方地区
馒头[中国传统食物],发明者,诸葛亮
五谷[食物],别称,五谷杂粮
五谷[食物],主要原料,无
五谷[食物],是否含防腐剂,否
生粉,别称,淀粉
生粉,是否含防腐剂,否
生粉,适宜人群,全体
生粉,储藏方法,干燥
酸牛奶,外文名,yogurt
酸牛奶,是否含防腐剂,是
酸牛奶,储藏方法,冷藏
羊羹[食品],是否含防腐剂,否
羊羹[食品],来源国,中国
艾窝窝,别称,江米糕
艾窝窝,是否含防腐剂,否
艾窝窝,适宜人群,老少咸宜
艾窝窝,副作用,无
艾窝窝,储藏方法,低温干燥
艾窝窝,口味,香甜
培根[猪肉烟熏肉制品],别称,烟肉
培根[猪肉烟熏肉制品],是否含防腐剂,否
培根[猪肉烟熏肉制品],储藏方法,冷冻
提拉米苏[意大利甜点],是否含防腐剂,否
提拉米苏[意大利甜点],副作用,无
提拉米苏[意大利甜点],储藏方法,冷藏
提拉米苏[意大利甜点],AA国际动漫,是
饮茶,是否含防腐剂,否
饮茶,适宜人群,所有人
饮茶,储藏方法,密封
甜点,外文名,Dessert
甜点,是否含防腐剂,否
甜点,AA国际动漫,是
可乐[饮用饮料],别称,汽水
可乐[饮用饮料],是否含防腐剂,否
可乐[饮用饮料],所属分类,碳酸饮料
橄榄油,是否含防腐剂,否
橄榄油,储藏方法,冷藏
橄榄油,类别,木本植物油
橄榄油,盛产地区,地中海
橄榄油,乔木,常绿小乔木
曼特宁咖啡,是否含防腐剂,否
曼特宁咖啡,主要食用功效,提神
曼特宁咖啡,适宜人群,成年人
武大郎炊饼,别称,馒头
武大郎炊饼,主要原料,面粉
武大郎炊饼,是否含防腐剂,否
武大郎炊饼,主要营养成分,淀粉
武大郎炊饼,适宜人群,老少皆宜
蜂蜜[蜜蜂酿制的蜜],外文名,honey
蜂蜜[蜜蜂酿制的蜜],是否含防腐剂,否
蜂蜜[蜜蜂酿制的蜜],不宜人群,婴儿
竹叶青酒,主要原料,汾酒
竹叶青酒,是否含防腐剂,否
竹叶青酒,储藏方法,密封
孝感麻糖,是否含防腐剂,否
孝感麻糖,适宜人群,老少皆宜
孝感麻糖,产地,湖北孝感
酱油[中国传统调味品],别称,豉油
酱油[中国传统调味品],是否含防腐剂,否
酱油[中国传统调味品],主要营养成分,氨基酸
银鹭花生牛奶,是否含防腐剂,否
银鹭花生牛奶,适宜人群,老少皆宜
银鹭花生牛奶,生产公司,厦门银鹭食品有限公司
破壁灵芝孢子粉,别称,灵芝破壁孢子粉
破壁灵芝孢子粉,是否含防腐剂,否
破壁灵芝孢子粉,副作用,无
掉渣饼,中文名,掉渣烧饼
掉渣饼,是否含防腐剂,否
掉渣饼,适宜人群,老少皆宜
面条[中国传统食物],是否含防腐剂,否
面条[中国传统食物],适宜人群,老少皆宜
面条[中国传统食物],副作用,无
工夫茶,是否含防腐剂,否
工夫茶,主要食用功效,提神
工夫茶,适宜人群,老少皆宜
工夫茶,副作用,无
香槟酒,外文名,champagne
香槟酒,是否含防腐剂,否
香槟酒,适宜人群,成人
椒盐卷饼,主要原料,淀粉
椒盐卷饼,是否含防腐剂,否
椒盐卷饼,主要营养成分,糖类
苏打饼干,主要原料,小麦粉
苏打饼干,主要营养成分,碳酸氢钠
苏打饼干,适宜人群,老少皆宜
靖江蟹黄汤包,是否含防腐剂,否
靖江蟹黄汤包,口味,鲜美
靖江蟹黄汤包,适合人群,所有人
牛柳,别称,牛里脊
牛柳,是否含防腐剂,否
牛柳,主要营养成分,蛋白质
牛柳,储藏方法,冷藏
鸡茸玉米汤,主要原料,鸡胸脯肉
鸡茸玉米汤,是否含防腐剂,否
鸡茸玉米汤,适宜人群,大众
鸡茸玉米汤,副作用,无
口条,是否含防腐剂,否
口条,主要食用功效,滋阴润燥
口条,储藏方法,冷藏
泡菜[食品],外文名,pickle
泡菜[食品],是否含防腐剂,否
泡菜[食品],主要营养成分,活性乳酸菌
豆浆,主要原料,大豆
豆浆,是否含防腐剂,否
豆浆,适宜人群,老少皆宜
甜甜圈[食品],是否含防腐剂,否
甜甜圈[食品],适宜人群,老少皆宜
甜甜圈[食品],类型,甜点
甜甜圈[食品],主要功效,营养均衡
香菇寮白毫,是否含防腐剂,否
香菇寮白毫,适宜人群,老少皆宜
香菇寮白毫,副作用,无
葡萄干,外文名,raisin
葡萄干,是否含防腐剂,否
葡萄干,副作用,肥胖
陈皮酒,是否含防腐剂,否
陈皮酒,主要营养成分,氨基酸
陈皮酒,文化地位,国家级非物质文化遗产
毫茶,是否含防腐剂,否
毫茶,适宜人群,老少皆宜
毫茶,所属类别,绿茶
菊花羹,别称,菊花粥
菊花羹,是否含防腐剂,否
菊花羹,适宜人群,老少皆宜
四大名醋,是否含防腐剂,否
四大名醋,主要食用功效,调味
四大名醋,适宜人群,老少皆宜
